id,name,ruby,site,address,label,education,course,tel,lat,lng,near,course1,course2,course3,course4,course5,course6
24,大阪星光学院高等学校,おおさかせいこうがくいんこうとうがっこう,http://www.osakaseiko.ac.jp/,大阪府大阪市天王寺区伶人町1-6,私立,男子校,普通科,06-6771-0737,34.656462,135.513337,大阪メトロ谷町線「四天王寺前夕陽丘」徒歩2分,普通科,,,,,
25,大阪青凌高等学校,おおさかせいりょうこうとうがっこう,https://www.osakaseiryo.jp/,大阪府三島郡島本町若山台1-1-1,私立,共学校,普通科,075-754-7771,34.886652,135.660496,JR京都線「島本」徒歩10分／阪急京都線「水無瀬」徒歩15分,普通科,,,,,
26,大阪体育大学浪商高等学校,おおさかたいいくだいがくなみしょうこうとうがっこう,http://www.ouhs-school.jp/,大阪府大阪府泉南郡熊取町朝代台1-1,私立,共学校,普通科,072-453-7001,34.380295,135.357242,JR阪和線「熊取」から南海バス「浪商学園前」下車／南海本線「泉佐野」から南海バス「浪商学園前」下車,普通科,,,,,
27,大阪つくば開成高等学校,おおさかつくばかいせいこうとうがっこう,http://otk.ed.jp/,大阪府大阪市北区天満2-2-16,私立,共学校,通信制,06-6352-0020,34.692333,135.516339,京阪・大阪メトロ谷町線「天満橋」徒歩4分／JR東西線「大阪天満宮」・大阪メトロ堺筋線「南森町」JR2番出口徒歩9分,通信制,,,,,
28,大阪電気通信大学高等学校,おおさかでんきつうしんだいがくこうとうがっこう,http://www.dentsu.ed.jp/,大阪府守口市橋波西之町1-5-18,私立,共学校,工学科、普通科,06-6992-6261,34.737075,135.571421,京阪電車「守口市」徒歩10分／京阪電車「西三荘」徒歩6分／大阪モノレール・京阪電車「門真市」徒歩16分／大阪メトロ谷町線「守口」徒歩10分,工学科,普通科,,,,
29,大阪桐蔭高等学校,おおさかとういんこうとうがっこう,http://www.osakatoin.ed.jp,大阪府大東市中垣内3-1-1,私立,共学校,普通科,072-870-1001,34.707958,135.645655,JR学研都市線「野崎」徒歩18分・「住道」からシャトルバス／近鉄けいはんな線「新石切」から近鉄バス「産業大学前」下車すぐ,普通科,,,,,
30,大阪夕陽丘学園高等学校,おおさかゆうひがおかがくえんこうとうがっこう,http://www.oyg.ed.jp,大阪府大阪市天王寺区生玉寺町7-72,私立,共学校,普通科,06-6771-9510,34.659836,135.5135,大阪メトロ谷町線「四天王寺前夕陽ヶ丘」徒歩3分／南海「なんば」徒歩12分／近鉄「大阪上本町」徒歩12分／JR「天王寺」徒歩20分,普通科,,,,,
31,大阪緑涼高等学校,おおさかりょくりょうこうとうがっこう,http://www.osakaryokuryo.ed.jp/,大阪府藤井寺市春日丘3-8-1,私立,共学校,普通科,072-955-0718,34.569304,135.589559,近鉄南大阪線「藤井寺」徒歩5分,普通科,,,,,
32,大谷高等学校,おおたにこうとうがっこう,http://www.osk-ohtani.ed.jp,大阪府大阪市阿倍野区共立通2-8-4,私立,女子校,普通科,06-6661-8400,34.638967,135.506219,大阪メトロ谷町線「阿倍野」徒歩8分／JR環状線・阪和線「天王寺」・近鉄南大阪線「あべの橋」・大阪メトロ御堂筋線「天王寺」徒歩17分／南海本線・高野線・大阪メトロ堺筋線「天下茶屋」徒歩15分／阪堺線「松虫」徒歩7分,普通科,,,,,
33,開明高等学校,かいめいこうとうがっこう,https://www.kaimei.ed.jp/,大阪府大阪市城東区野江1-9-9,私立,共学校,普通科,06-6932-4461,34.700955,135.537813,大阪メトロ谷町線「野江内代」、大阪メトロ長堀鶴見緑地線・今里筋線「蒲生四丁目」、京阪本線「野江」、JRおおさか東線「JR野江」徒歩12分,普通科,,,,,
34,香ヶ丘リベルテ高等学校,かおりがおかりべるてこうとうがっこう,http://www.liberte.ed.jp,大阪府堺市堺区浅香山町1-2-20,私立,女子校,普通科,072-238-7881,34.584265,135.497418,JR阪和線「浅香」徒歩5分／南海高野線「浅香山」徒歩12分／大阪メトロ御堂筋線「北花田」からバス「愛泉学園前」下車,普通科,,,,,
35,関西大倉高等学校,かんさいおおくらこうとうがっこう,http://www.kankura.jp,大阪府茨木市室山2-14-1,私立,共学校,普通科,072-643-6321,34.848608,135.542071,JR「茨木」／阪急「茨木市」「北千里」「石橋阪大前」／北大阪急行・大阪モノレール「千里中央」からスクールバス,普通科,,,,,
36,関西創価高等学校,かんさいそうかこうとうがっこう,http://www.kansai.soka.ed.jp,大阪府交野市寺3-20-1,私立,共学校,普通科,072-891-0011,34.78444,135.697268,JR学研都市線「河内磐船」徒歩20分・京阪交野線「河内森」徒歩20分,普通科,,,,,
37,関西大学高等部,かんさいだいがくこうとうぶ,https://www.kansai-u.ac.jp/senior/,大阪府大阪府高槻市白梅町7-1,私立,共学校,普通科,072-684-4327,34.85493,135.622635,JR京都線「高槻」徒歩7分／阪急京都線「高槻市」徒歩10分,普通科,,,,,
38,関西大学第一高等学校,かんさいだいがくだいいちこうとうがっこう,http://www.kansai-u.ac.jp/dai-ichi/high/,大阪府吹田市山手町3-3-24,私立,共学校,普通科,06-6337-7750,34.770101,135.509064,阪急千里線「関大前」南徒歩3分,普通科,,,,,
39,関西大学北陽高等学校,かんさいだいがくほくようこうとうがっこう,http://www.kansai-u.ac.jp/hokuyo/,大阪府大阪市東淀川区上新庄1-3-26,私立,共学校,普通科,06-6328-5964,34.746032,135.529435,阪急京都線「上新庄」徒歩8分／阪急千里線「下新庄」徒歩13分／JRおおさか東線「JR淡路」徒歩15分,普通科,,,,,
40,関西福祉科学大学高等学校,かんさいふくしかがくだいがくこうとうがっこう,http://www.hs.fuksi-kagk-u.ac.jp,大阪府柏原市旭ｹ丘3-11-1,私立,共学校,普通科,072-976-1112,34.558183,135.635669,近鉄大阪線「河内国分」徒歩12分・「大阪教育大前」徒歩10分／近鉄南大阪線「古市」からスクールバス約20分／JR大和路線「高井田」徒歩20分・スクールバス10分,普通科,,,,,
41,関西学院千里国際高等学校,かんせいがくいんせんりこくさいこうとうがっこう,http://www.senri.ed.jp,大阪府箕面市小野原西4-4-16,私立,共学校,普通科,072-727-5050,34.829667,135.508757,阪急千里線「北千里」から阪急バス15分／北大阪急行・大阪モノレール「千里中央」から阪急バス25分,普通科,,,,,
42,近畿大阪高等学校,きんきおおさかこうとうがっこう,https://koutoku.ac.jp/kinkiosaka/,大阪府阪南市箱作1054-1,私立,共学校,通信制,072-447-4761,34.340875,135.211104,南海本線「箱作駅」徒歩5分,通信制,,,,,
43,近畿大学泉州高等学校,きんきだいがくせんしゅうこうとうがっこう,http://www.kindai-sensyu.ed.jp/,大阪府岸和田市内畑町3558,私立,共学校,普通科,072-479-1231,34.419175,135.432807,近鉄長野線「岸和田」・JR阪和線「久米田」から南海バス「沢峯」下車徒歩10分,普通科,,,,,
44,近畿大学附属高等学校,きんきだいがくふぞくこうとうがっこう,http://www.jsh.kindai.ac.jp,大阪府東大阪市若江西新町5-3-1,私立,共学校,普通科,06-6722-1261,34.650821,135.595028,近鉄大阪線「長瀬」徒歩約20分／近鉄奈良線「八戸ノ里」南徒歩約20分・近大シャトルバス／京阪「門真市」・大阪モノレール「門真市」・大阪メトロ「門真南」・JR「鴻池新田」からスクールバス,普通科,,,,,
45,金蘭会高等学校,きんらんかいこうとうがっこう,http://www.kinran.ed.jp,大阪府大阪市北区大淀南3-3-7,私立,女子校,普通科,06-6453-0281,34.701394,135.483659,JR環状線「福島」徒歩8分／JR東西線「新福島」徒歩10分／阪神「福島」徒歩10分／京阪「中之島」徒歩20分／JR「大阪」・阪急「十三」からバス「福島7丁目前」下車,普通科,,,,,
46,金蘭千里高等学校,きんらんせんりこうとうがっこう,http://www.kinransenri.ed.jp,大阪府吹田市藤白台5-25-2,私立,共学校,普通科,06-6872-0263,34.825771,135.515399,阪急千里線「北千里」北東徒歩10分／北大阪急行・大阪モノレール「千里中央」から阪急バス「金蘭会学園前」下車すぐ,普通科,,,,,
47,建国高等学校,けんこくこうとうがっこう,http://www.keonguk.ac.jp,大阪府大阪市住吉区遠里小野2-3-13,私立,共学校,普通科,06-6691-1231,34.597526,135.499706,JR阪和線「杉本町」西北徒歩7分／南海高野線「我孫子前」東南徒歩7分／大阪市バス「山之内1丁目」下車南50ｍ,普通科,,,,,
48,賢明学院高等学校,けんめいがくいんこうとうがっこう,https://kenmei.jp,大阪府堺市堺区霞ｹ丘町4-3-30,私立,共学校,普通科,072-241-1679,34.552995,135.467781,JR阪和線「上野芝」徒歩13分／南海高野線「堺東」から南海バス「霞ケ丘」「南陵通一丁」下車徒歩3分,普通科,,,,,
49,賢明学院高等学校,けんめいがくいんこうとうがっこう,https://kenmei.jp/correspondencecourse/,大阪府堺市堺区霞ｹ丘町4-3-30,私立,共学校,通信制,072-241-2111,34.552995,135.467781,JR阪和線「上野芝」徒歩13分／南海高野線「堺東」から南海バス「霞ケ丘」「南陵通一丁」下車徒歩3分,通信制,,,,,
50,興國高等学校,こうこくこうとうがっこう,http://www.kokoku.ed.jp/,大阪府大阪市天王寺区寺田町1-4-26,私立,男子校,ITビジネス科、普通科,06-6779-8151,34.652518,135.521625,JR環状線「寺田町」徒歩7分,ITビジネス科,普通科,,,,
51,神須学園高等学校,こうずがくえんこうとうがっこう,https://www.kozu-gakuen.ed.jp/,大阪府岸和田市野田町1-7-12,私立,共学校,通信制,072-493-3977,34.459455,135.378183,南海本線「岸和田」徒歩2分,通信制,,,,,
52,好文学園女子高等学校,こうぶんがくえんじょしこうとうがっこう,https://koubun.ed.jp/,大阪府大阪市西淀川区千舟3-8-22,私立,女子校,普通科,06-6472-2281,34.710151,135.448501,JR東西線「御幣島」徒歩約12分／阪神本線「千船」徒歩約6分／阪神なんば線「出来島」徒歩約15分,普通科,,,,,
53,向陽台高等学校,こうようだいこうとうがっこう,http://www.koyodai.ed.jp,大阪府茨木市宿久庄7-20-1,私立,共学校,通信制,072-643-6681,34.846013,135.528846,モノレール「彩都西」徒歩10分／JR「茨木」・阪急「茨木市」「北千里」「石橋」・モノレール「千里中央」各駅よりスクールバス,通信制,,,,,
54,香里ヌヴェール学院高等学校,こうりぬう゛ぇーるがくいんこうとうがっこう,http://www.seibo.ed.jp/nevers-hs/,大阪府寝屋川市美井町18-10,私立,共学校,普通科,072-831-8452,34.780951,135.636215,京阪「香里園」徒歩8分,普通科,,,,,
55,金光大阪高等学校,こんこうおおさかこうとうがっこう,http://www.kohs.ed.jp/,大阪府高槻市東上牧1-3-1,私立,共学校,普通科,072-669-5211,34.868881,135.663318,阪急京都線「上牧」南徒歩3分／JR京都線「島本」徒歩18分,普通科,,,,,
56,金光藤蔭高等学校,こんこうとういんこうとうがっこう,http://www.konkoutouin.ed.jp,大阪府大阪市生野区小路東4-1-26,私立,共学校,普通科,06-6751-2461,34.65736,135.556561,大阪メトロ千日前線「小路」5分／近鉄大阪線「布施」15分,普通科,,,,,
57,金光八尾高等学校,こんこうやおこうとうがっこう,http://www.konkoyao.ed.jp,大阪府八尾市柏村町1-63,私立,共学校,普通科,072-922-9162,34.61365,135.622572,近鉄大阪線「高安」南西徒歩10分・「恩智」北西徒歩7分,普通科,,,,,
58,堺リベラル高等学校,さかいりべらるこうとうがっこう,http://www.liberal.ed.jp/,大阪府大阪府堺市堺区浅香山町1-2-20,私立,女子校,表現教育科,072-275-7688,34.584265,135.497418,JR阪和線「堺市」徒歩10分／南海高野線「浅香山」徒歩12分／大阪メトロ御堂筋線「北花田」からバス「愛泉学園前」下車,表現教育科,,,,,
59,四條畷学園高等学校,しじょうなわてがくえんこうとうがっこう,http://jh.shijonawate-gakuen.ac.jp/,大阪府大東市学園町6-45,私立,共学校,普通科,072-876-1327,34.731062,135.640507,JR学研都市線「四条畷」徒歩1分,普通科,,,,,
60,四天王寺高等学校,してんのうじこうとうがっこう,http://www.shitennoji.ac.jp,大阪府大阪市天王寺区四天王寺1-11-73,私立,女子校,普通科,06-6772-6201,34.65464,135.514515,JR「天王寺」北徒歩10分／大阪メトロ谷町線「四天王寺前夕陽ケ丘」4番出口南徒歩5分,普通科,,,,,
61,四天王寺東高等学校,してんのうじひがしこうとうがっこう,http://www.shitennojigakuen.ed.jp/sgjh/,大阪府大阪府藤井寺市春日丘3-1-78,私立,共学校,普通科,072-937-2855,34.570921,135.591023,近鉄南大阪線「藤井寺」下車3分,普通科,,,,,
62,秋桜高等学校,しゅうおうこうとうがっこう,https://www.shuoh.ed.jp/index.html,大阪府貝塚市新町2-10,私立,共学校,通信制,072-432-6007,34.443573,135.354306,南海本線「貝塚」南西徒歩5分,通信制,,,,,
63,樟蔭高等学校,しょういんこうとうがっこう,http://www.osaka-shoin.ac.jp/hs,大阪府東大阪市菱屋西4-2-26,私立,女子校,普通科,06-6723-8185,34.662615,135.577783,近鉄奈良線「河内小阪」徒歩3分／JRおおさか東線「河内永和」徒歩5分,普通科,,,,,
64,常翔学園高等学校,じょうしょうがくえんこうとうがっこう,http://www.highs.josho.ac.jp/,大阪府大阪市旭区大宮5-16-1,私立,共学校,普通科,06-6954-4436,34.730993,135.545466,大阪メトロ谷町線「千林大宮」、大阪メトロ谷町線・今里筋線「太子橋今市」徒歩12分／京阪本線「千林」・「滝井」徒歩20分,普通科,,,,,
65,常翔啓光学園高等学校,じょうしょうけいこうがくえんこうとうがっこう,https://www.keiko.josho.ac.jp,大阪府枚方市禁野本町1-13-21,私立,共学校,普通科,072-807-6632,34.817686,135.657025,京阪本線「枚方市」徒歩約13分・京阪本線「宮ノ阪」徒歩7分,普通科,,,,,
66,城南学園高等学校,じょうなんがくえんこうとうがっこう,http://www.jonan.ac.jp/chuko,大阪府大阪市東住吉区照ｹ丘矢田2-14-10,私立,女子校,普通科,06-6702-9784,34.607923,135.537971,近鉄南大阪線「矢田」北東約600ｍ／大阪メトロ谷町線「喜連瓜破」西約1．1ｋｍ／大阪メトロ御堂筋線「長居」・JR阪和線「長居」から大阪市バス「湯里6丁目」下車すぐ,普通科,,,,,
67,昇陽高等学校,しょうようこうとうがっこう,http://www.oskshoyo.ed.jp/,大阪府大阪市此花区朝日1-1-9,私立,共学校,福祉科、普通科,06-6461-0091,34.684565,135.462218,JR大阪環状線・阪神なんば線「西九条」徒歩6分／阪神なんば線「千鳥橋」徒歩5分,福祉科,普通科,,,,
68,精華高等学校,せいかこうとうがっこう,http://www.seika-h.ed.jp/,大阪府堺市中区辻之1517,私立,共学校,普通科,072-234-3391,34.510638,135.515297,泉北高速鉄道「泉ヶ丘」「深井」から南海バス「東中学校前」下車徒歩5分／南海高野線「北野田」南海バス「高山」下車徒歩8分,普通科,,,,,
69,清教学園高等学校,せいきょうがくえんこうとうがっこう,https://www.seikyo.ed.jp/,大阪府河内長野市末広町623,私立,共学校,普通科,0721-62-6828,34.445929,135.574681,南海・近鉄「河内長野」南東徒歩10分／南海「岸和田」「泉佐野」泉北「和泉中央」水間「水間観音」からバス,普通科,,,,,
70,星翔高等学校,せいしょうこうとうがっこう,http://www.osaka-seisho.ed.jp/,大阪府摂津市三島3-5-36,私立,共学校,機械工学科、電子機械工学科、電気工学科、コミュニケーションシステム工学科、普通科,06-6381-0220,34.78027,135.555133,阪急京都線「正雀」東徒歩14分・「摂津市」徒歩10分／大阪モノレール「摂津」徒歩12分／JR京都線「岸辺」徒歩19　　分・「千里丘」徒歩19分,機械工学科,電子機械工学科,電気工学科,コミュニケーションシステム工学科,普通科,
71,清風高等学校,せいふうこうとうがっこう,https://www.seifu.ac.jp/,大阪府大阪市天王寺区石ヶ辻町12-16,私立,男子校,普通科,06-6771-5757,34.664025,135.521622,大阪メトロ谷町線・千日前線「谷町九丁目」徒歩7分／近鉄線・阪神なんば線「大阪上本町」徒歩3分／JR大阪環状線「鶴橋」徒歩12分,普通科,,,,,
72,清風南海高等学校,せいふうなんかいこうとうがっこう,http://www.seifunankai.ac.jp,大阪府高石市綾園5-7-64,私立,共学校,普通科,072-261-7761,34.517084,135.428257,南海本線「高石」徒歩7分・「北助松」徒歩5分／JR阪和線「北信太」徒歩20分,普通科,,,,,
73,清明学院高等学校,せいめいがくいんこうとうがっこう,http://www.seimei.ed.jp,大阪府大阪市住吉区墨江2-4-4,私立,共学校,普通科,06-6673-8181,34.607511,135.495053,南海高野線「沢ノ町」徒歩4分／南海本線「住吉大社」徒歩12分,普通科,,,,,
74,宣真高等学校,せんしんこうとうがっこう,http://senshin-gakuen.jp,大阪府池田市荘園2-3-12,私立,女子校,普通科,072-761-8801,34.810488,135.437633,阪急宝塚線「石橋阪大前」徒歩約10分,普通科,,,,,
75,相愛高等学校,そうあいこうとうがっこう,http://www.soai.ed.jp/,大阪府大阪市中央区本町4-1-23,私立,女子校,音楽科、普通科,06-6262-0621,34.684147,135.499316,大阪メトロ御堂筋線「本町」4号出口すぐ,音楽科,普通科,,,,
76,大商学園高等学校,だいしょうがくえんこうとうがっこう,http://www.daisho.ac.jp,大阪府豊中市利倉東1-2-1,私立,共学校,商業科、普通科,06-6862-5223,34.764398,135.465331,阪急宝塚線「服部天神」西へ徒歩10分,商業科,普通科,,,,
77,太成学院大学高等学校,たいせいがくいんだいがくこうとうがっこう,http://www.taisei-hs.ac.jp,大阪府大東市諸福7-2-23,私立,共学校,スポーツ科、普通科,072-871-1921,34.70415,135.59745,JR学研都市線「鴻池新田」北徒歩7分,スポーツ科,普通科,,,,
78,高槻高等学校,たかつきこうとうがっこう,https://www.takatsuki.ed.jp,大阪府高槻市沢良木町2-5,私立,共学校,普通科,072-671-0001,34.847321,135.629705,阪急「高槻市」徒歩7分／JR「高槻」徒歩16分／京阪「枚方市」から京阪バス「松原」下車すぐ,普通科,,,,,
79,帝塚山学院高等学校,てづかやまがくいんこうとうがっこう,http://www.tezukayama.ac.jp/cyu_kou,大阪府大阪市住吉区帝塚山中3-10-51,私立,女子校,普通科,06-6672-1151,34.620498,135.498311,南海高野線「帝塚山」下車すぐ／阪堺上町線「帝塚山三丁目」徒歩2分,普通科,,,,,
80,帝塚山学院泉ヶ丘高等学校,てづかやまがくいんいずみがおかこうとうがっこう,http://www.tezuka-i-h.jp,大阪府堺市南区晴美台4-2-1,私立,共学校,普通科,072-293-1221,34.489011,135.531757,泉北高速鉄道「泉ヶ丘」から南海バス「帝塚山学院泉ヶ丘校前」下車,普通科,,,,,
81,天王寺学館高等学校,てんのうじがっかんこうとうがっこう,http://www.tg-group.ac.jp/tgkoko,大阪府大阪市平野区平野北1-10-43,私立,共学校,通信制,06-6795-1860,34.63137,135.552064,JR大和路線「平野」駅前／大阪メトロ千日前線「南巽」より479号線を南に徒歩約20分／大阪メトロ谷町線「平野」より479号線を北に徒歩約20分,通信制,,,,,
82,東海大学付属大阪仰星高等学校,とうかいだいがくふぞくおおさかぎょうせいこうとうがっこう,http://www.tokai.ed.jp/gyosei/,大阪府枚方市桜丘町60-1,私立,共学校,普通科,072-849-7211,34.805995,135.669563,京阪交野線「村野」徒歩10分／近鉄学園前～登美が丘～白庭台～田原台スクールバス,普通科,,,,,
83,同志社香里高等学校,どうししゃこうりこうとうがっこう,http://www.kori.doshisha.ac.jp,大阪府寝屋川市三井南町15-1,私立,共学校,普通科,072-831-0285,34.773487,135.635891,京阪「香里園」南東徒歩約18分,普通科,,,,,
